,title,publisher,published,cited_num,times_cited,abstract,keywords,keyword_plus,authors_address,author_university,cited
1,"Innervation of the Brachioradialis Muscle in Brazilian Individuals: Anatomo-clinical aspects of the Biometry of Origin and Nervous Distribution",International Journal of Morphology,2020年4月,0,17,"SUMMARY: The nerve for the brachioradialis muscle (BR) has been used in nerve transfers for recoveries in functions of the hand as a consequence of lesions affecting the brachial plexus. With the purpose of investigating the number and biometric location of the primary branches coming from the radial nerve and motor points with respect to a reference point located in the elbow region, thirty upper limbs of Brazilian adult individuals from the State University of Sciences of Saúde de Alagoas, Maceió, Brazil were used. The samples were fixed in 10 % formaldehyde solution, of which 15 were right and 15 left. As a reference point, a line was used that passed through the most prominent parts of the humeral epicondyls, bi-epicondilar line (BEL). With respect to the nervous origin for the BR muscle, all the branches originated from the radial nerve (RN). The average number of primary branches (PB) was 1.53 (SD 0.73). In 18 samples (60 %) only one PB was observed; in 8 cases (26.7 %) 2 PB were found, while in 4 cases (13.3 %) of the sample 3 PB were observed. Regarding the biometric location of the origins of PB, it is important to mention that all were located proximal to the BEL. On average, these were located at 38 mm (SD 0.9); 29 mm (DS 1.2) and 22 mm (DS 1.0) for the first, second and third PB, respectively. In relation to the motor points (MP), in 4 cases (13 %) 1 MP was observed as direct penetration of the PB, in 13 cases (43 %) there were 2 MP, in 8 cases (27 %) they found 3 MP and in 5 cases (17 %) 4 MP were observed. In three cases (10 %) the innervation towards the BR muscle emitted nerve fillets towards the extensor carpi radialis longus muscle. The results presented in this investigation are an important contribution to nerve blocks, electrical stimulations and nerve transfers.",Anatomy; Innervation; Motor points; Brachioradialis muscle; Biometry,,"[ 1 ] Universidad Central de Chile, Chile
[ 2 ] Universidad de Chile, Chile
[ 3 ] Universidad Estadual de Ciencias da Saúde de Alagoas, Brasil
[ 4 ] Universidad de La Frontera, Chile
[ 5 ] Universidad de Chile, Chile",,
2,"
THE 50 MOST CITED ARTICLES IN THE BRAZILIAN MEDICAL LITERATURE ON KNEE SURGERY",Acta Ortopédica Brasileira,2020年2月,0,13,"Objective: To provide an analysis of the 50 most cited articles on knee surgery in the Brazilian medical literature. Methods: This is a study of systematic review and meta-analysis, level of evidence 3. It was carried out through search in the SCOPUS database to identify scientific articles published in the Brazilian medical literature. Eighty-six Brazilian journals were analyzed, and articles with ten or more citations and which had the word ""joelho"" or ""knee"" in the title, abstract or keywords were selected. Results: All articles were published as of the year 2000 in 14 journals. The Journal Clinics presented the largest number of publications, followed by Acta Ortopedica Brasileira. The main focus of the studies was on anatomy and biomechanics, mainly from Brazilian authors. Most of the authors were Brazilian, from Brazilian and public research institutions. Conclusion: Biometric analysis has been gaining ground in recent years, but its interpretation must consider various aspects related to the paramount analytical importance.",Knee;?Systematic Review;?Data base,IMPACT-FACTORS;?RADIOLOGY;?WORKS,"Ave Onze de Junho 970, BR-04041003 Sao Paulo, SP, Brazil.","Univ Fed Sao Paulo, Dept Orthoped & Traumatol, Sao Paulo, SP, Brazil",
3,"
Biometric characteristics and physiological seeds of Echium plantagineum L. in different times of harvesting",Revista de Ciências Agrárias,2020年12月,0,24,"The objective of this work was to evaluate the biometric and physiological characteristics of diaspores (carcerulide: seeded seed fruit) of Echium plantagineum harvested at different times, and the influence of diaspores storage on seed germination and viability. A 5 x 2 factorial was used to evaluate fruit harvesting times (03/Oct, 18/Oct, 01/Nov, 15/Nov and 01/Dec) and dormancy break treatment (presence or absence). The diaspores were submitted to physiological quality evaluation through tests of germination, germination speed index and seed viability after each harvested and after storage for six months, as well as their biometric characterization. The fruits produced at the beginning of the reproductive period present have larger dimensions and larger mass, occurring seeds dormancy before fruit dispersal. There is variation in the germination of E. plantagineum seeds during the fruit harvesting periods, which may be related to genetic and environmental factors. Seed dormancy is broken with storage for six months and immersion in potassium nitrate (0.2%) for 12-h and gibberellic acid (500 mg L-1) for 48-h.",gibberellic acid; diaspores; purple-flower; potassium nitrate; viability,,"[ 1 ] Universidade Federal de Santa Maria, Brasil
[ 2 ] Universidade Federal de Santa Maria, Brasil",,
4,"
Biometric Localization of the Motor Points of the Femoral Quadriceps Muscle of Brazilian Individuals",International Journal of Morphology,2020年12月,0,18,"The quadriceps femoris muscle is a muscle that participates mainly in the movements of the knee and also in the hip, being able to be affected by alterations in muscle trophism, after injuries of these joints or muscular tone conditions, such as spasticity, after injuries cerebrovascular. Each of its heads is innervated by branches of the femoral nerve. The objective of this study was to identify and measure the distance of the motor points (MP) of the quadriceps femoris muscle, in relation to anatomical structures of clinical relevance. Thirty lower limbs of 23 formolized corpses of adult Brazilian individuals were used. The study was conducted at the State University of Ciencias da Saude de Alagoas (UNCISAL), Maceio, Brazil. The dissection was performed by planes in the medial, anterior and lateral thigh, identifying the femoral nerve branches for each component, rectus femoris muscles (Rfm), medial vastus (mVm), vastus intermedius (intVm) and vastus lateralis (latVm), locating each of the MP. The measurements were made with a Mitutoyo caliper of 0.05 mm accuracy. The data obtained were treated statistically, using the STATA software (version 14.1). The Rfm had an average of 2.45 +/- 1.39 MP, the great majority of the MP (63 %) being in the distal area of the proximal third of the thigh; the mVm presented 4.42 +/- 2.74 MP on average, with 41 % of them in the middle third of the thigh, distal zone; the intVm had 3.99 + 2.34 MP on average and 58 % of them were located in the proximal area of the middle third of the thigh; the latVm presented an average of 3.88 +/- 2.37 MP and 50 % of these were found in the proximal third of the thigh. The biometric localization of the MP is reported in results. The biometric location of the MP, will favor the task, both clinical and surgical of the anterior thigh area.",Anatomy;?Femoral quadriceps muscle;?Innervation;?Motor points,VASTUS-MEDIALIS;?RECTUS FEMORIS;?ANATOMY;?BLOCK;?FLAP,"Universidad de La Frontera?Univ La Frontera, Fac Med, Av Francisco Salazar 01145, Temuco, Chile.","Univ La Frontera, Programa Magister Ciencias, Ment Morfol, Temuco, Chile",
5,"
Biometric relationships between body size and otolith size in 15 demersal marine fish species from the northern Brazilian coast",Acta Amazonica,2020年12月,0,25,The relationships between fish size and sagitta otolith measurements were calculated for the first time for 15 species belonging to six families from the northern Brazilian coast. A total of 220 fish were sampled from the bycatch landed by the bottom-trawl industrial shrimp-fishing fleet between August and September 2016. All species had strong relationships between otolith measurements and fish total length with the coefficient of determination (r(2)) ranging between 0.71 and 0.99. The variable most strongly related to fish total length was found to be the sagittal otolith length (OL) with 98% of the variability. These relationships are a useful tool to estimate length and mass of preyed fish from otoliths found in stomach contents of marine predators.,Amazon delta; bycatch; sagitta; Neotropics; Sciaenidae; stomach content,LENGTH;?SEA,"Universidade Federal do Para?Univ Fed Para, Nucleo Ecol Aquat & Pesca Amazonia, Grp Ecol Aquat, Belem, Para, Brazil.","Univ Fed Para, Nucleo Ecol Aquat & Pesca Amazonia, Grp Ecol Aquat, Belem, Para, Brazil",
6,"
Physical and physiological aspects in seeds of Mimosa ophthalmocentra Mart. ex Benth",Revista de Ciências Agrárias,2020年9月,0,27,"This study aimed to characterize Mimosa ophthalmocentra fruits and seeds, the process of water absorption and set the best pre-germination treatment to overcome dormancy. This plant species is native of Brazilian Caatinga and has a high energetic value for alcohol production and vegetal coal. Biometric characterization was done with 100 fruits and 100 seeds from two lots. For the characterization of the seed hydration, the process was carried out soaking curve of seed lots with and without lopping. In order to evaluate the best method of breaking seed dormancy, a completely randomized experimental design was used in a 2 x 9 factorial scheme (harvest years x pre-germination treatments). We also evaluated nine pre-germinating treatments to overcome seed dormancy: control; cutting with scissors and scarification with sandpaper 80, at the opposite end to the hilum; hot water at 80 °C for 3, 6 and 12 minutes and sulfuric acid (98%) for 3, 6 and 12 minutes, and evaluated the percentage and speed of germination index, shoot length and root dry weight of shoot, root and total. The seeds of M. ophthalmocentra have low variation for biometric features and the larger variations occur from plant materials. Seed germination starts after 19 hours of imbibition, regardless of plant material. The scarification with sandpaper 80 or emerges with scissors at the opposite end to the hilum are the methods set out to overcome dormancy in M. ophthalmocentra seeds.",biometrics; dormancy; Caatinga; germination; water absorption,,"[ 1 ] Instituto Federal de Educa??o, Ciências e Tecnologia do Ceará, Brasil
[ 2 ] Universidade Federal Rural do Semi-?rido, Brasil",,
7,"
Ecological aspects of Callinectes sapidus (Crustacea: Portunidae) juvenile stages from a Gulf of Mexico blind estuary",Caldasia,2020年12月,0,42,"In this report are described abundance, size structure, and relative growth in Callinectes sapidus young stages from the Laguna El Llano blind estuary, Veracruz State (Mexico). Blue crabs were sampled in eight sampling sites since May 2013 to May 2014; four sites were located in un-vegetated, sandy bottom, and clear waters locations near to estuarine inlet, another four with fringe mangrove vegetation, muddy-bottom, and turbid waters. Were recorded pH, temperature, dissolved oxygen, turbidity, and salinity. A total of 276 organisms were collected (235 males and 41 females), young blue crabs were most numerous (91.3 %) in muddy-bottom, turbid waters sampling sites; the temporal abundance was not related statistically to hydrological variables (P &gt;0.05). Were measured the Carapace Width (CW) and total weight (W) of each specimen, male CW ranked 12-85 mm and WW 0.3-123.4 g, while female CW was 9.0-92.8 mm and W 0.7-152.6 g; respect to total abundance, 76.4 % were 11-20 mm and 4160 mm CW size class specimens; the relative growth was analyzed by using CW vs. W biometric relationship, for young blue crabs were negative allometric growth, regardless of sex; all specimens showed morphologically differentiated telson but early gonadal development stages; males outnumbered the gender proportion; 11-20 mm CW blue crabs occurrence through study span indicated continuous recruitment processes in this estuary.",Blue crab;?estuary;?growth;?Laguna El Llano;?recruitment;?size class structure,TEMPORARILY OPEN/CLOSED ESTUARIES;?BLUE-CRAB;?YOUNG JUVENILES;?ABUNDANCE;?RATHBUN;?BAY;?POSTLARVAE;?MEGALOPAE;?FISHERY;?DENSITY,"Universidad Nacional Autonoma de Mexico?Univ Nacl Autonoma Mexico, Fac Estudios Super Iztacala, Lab Ecol Estuarina, Av Barrios 1, Tlalnepantla 54090, Estado De Mexic, Mexico.","Univ Nacl Autonoma Mexico, Fac Estudios Super Iztacala, Lab Ecol Estuarina, Av Barrios 1, Tlalnepantla 54090, Estado De Mexic, Mexico",
8,"
Morphology and biometry of the reproductive organs of adult males of Trachemys scripta elegans reared in S<U+00E3>o Paulo state, Brazil",Pesquisa Veterinária Brasileira,2020年7月,2,59,"Trachemys scripta elegans is an American underwater chelonian illegally marketed in Brazilian pet shops. When abandoned in nature, it compromises native species, threatening local biodiversity. However, little is known about the body development and structure of its reproductive tract. The objective of the present study was to investigate the morphology and biometry of testis, epididymis and penis, as well as the biometry of the body and secondary sexual characters in this species. Twenty-seven adult males were used aiming to contribute to preservation actions in captivity, population control, and scientific research, as well as to interspecific comparisons. Sex identification by the third claw length was effective, and the specimens presented harmonious and positive body development between mass, carapace, plastron, and height, with unimodal tendency and higher frequency of maximum carapace length at 15cm. The testes and epididymides presented biometric similarity between the antimeres and anatomical and histological structure similar to that of other species of chelonians and mammals, except for the type of epithelium. The findings suggest that there is conserved morphology between slider turtles and homology in relation to mammals. Histological similarity to the reproductive organs of other amniotes, including humans, may give rise to scientific and comparative studies, essential for the establishment of conservation strategies in reptiles.",Morphology;?biometry;?reproductive organs;?Trachemys scripta elegans;?Brazil;?testis;?penis;?epididymis;?turtle;?reptiles,SEX-DETERMINATION;?CYTOLOGICAL EVALUATION;?DUCTULI EFFERENTES;?CHELONIA-MYDAS;?TURTLE;?TESTUDINES;?SOUTHERN;?TESTIS;?MATURATION;?EPIDIDYMIS,"Universidade Federal do Vale do Sao Francisco?Univ Fed Vale Sao Francisco Univasf, Rodovia 407 Km 12,Lote 543,Projeto Nilo Coelho C1, BR-56300000 Petrolina, PE, Brazil.","Univ Fed Vale Sao Francisco Univasf, Rodovia 407 Km 12,Lote 543,Projeto Nilo Coelho C1, BR-56300000 Petrolina, PE, Brazil",
9,"
DESCRITORES MORFOMéTRICOS E QUALIDADE FISIOLóGICA DE SEMENTES PARA SELE<U+00C7><U+00C3>O DE MATRIZES DE Aspidosperma pyrifolium Mart.",Revista Caatinga,2020年9月,0,29,"Mimosa bimucronata is a plant species that can be used in reforestation programs, and initial studies for the production of seedlings are needed. Due to the importance of this plant species and the scarcity of information on seed germination, this research was carried out with the objective of evaluate i) the biometric characteristics of the seeds by multivariate analysis, ii) the effect of seed pretreatment on germination, and iii) to characterize morphologically the different stages of germination and seedling. The biometry and seed mass and eight pre-germination treatments were analyzed: control; sulfuric acid (98%) for two; five and 10 min; hot water at 70 to 80 °C for 2 min; mechanical scarification and distilled water for 24 h. The different stages of seed development were evaluated until seedling formation. The seeds were exposed to two environments - laboratory and greenhouse. The percentage of germination and emergence were evaluated; germination and emergence speed index; and average time of germination and emergence. According to the multivariate analysis, the seeds were classified into three groups, with classes II and III being the most suitable for seedling production. Germination with sulfuric acid and sandpaper were the most indicated. The species presents 10 stages of development.",Biometry;?Genetic diversity;?Dry forests;?Pereiro tree,GERMINATION,"Universidade Federal do Rio Grande do Norte?Univ Fed Rio Grande do Norte, Acad Unit Specialized Agr Sci, Macaiba, RN, Brazil.","Univ Fed Rio Grande do Norte, Acad Unit Specialized Agr Sci, Macaiba, RN, Brazil",
10,"
Multidimensional biometric analysis with pre-germination treatments in seeds and morphological characterization of Mimosa bimucronata (De Candolle) Otto Kuntze seedlings",Revista de Ciências Agrárias,2020年6月,0,38,"ABSTRACT:  Considering that neem (Azadirachta indica A. Juss.) causes deleterious effects on fertility, the objective was to evaluate the effect of feeding quail (Coturnix coturnix japonica Linnaeus, 1758) of 90 days old with neem seeds on seminal quality, biometric parameters, and testicular morphometrics, as an experimental model. After the 30 day adaptation period to the experimental conditions, birds were randomly distributed in five treatments of neem seeds incorporated into feed, with 10 replicates: T1 (0%), T2 (5%), T3 (10%), T4 (20%) and T5 (40%). After 60 days of receiving experimental rations, their semen was collected to evaluate the sperm quality, the birds were euthanized, and testes were submitted to biometric, histological, and histomorphometric evaluation. The data were evaluated by analysis of variance and later by Tukey test with a significance level of 5%. The mean values of testicle weight, length, and width significantly decreased in T4 and T5, due degeneration of germinal epithelial cells. In these treatments, it occurred a significant increase (P&gt;0.05) in the average values of the tunica albuginea thickness and a significant reduction in the values of the seminiferous tubule diameter and the height of the germinal epithelium. In addition, the mean values of seminal volume, sperm concentration, sperm motility, vigor, and sperm viability were significantly reduced. Thus, the use of neem in bird feeding, as well as the use for therapeutic purposes, is questionable, considering its negative impact on reproduction.",?Cat’s claw; forest seeds; dormancy; germination,,"[ 1 ] Universidade Estadual Paulista, Brasil
[ 2 ] Universidade Federal de Alagoas, Brasil",,
